Lote,Linea,Palma,Longitud,Latitud
67-CASA ROJA,102,22,-73.649504400000,3.884040060000
67-CASA ROJA,102,3,-73.649331000000,3.882298568000
67-CASA ROJA,102,7,-73.649387500000,3.882575948000
67-CASA ROJA,102,4,-73.649349100000,3.882380418000
67-CASA ROJA,102,15,-73.649436900000,3.883367107000
67-CASA ROJA,102,1,-73.649324300000,3.882130334000
67-CASA ROJA,102,6,-73.649373900000,3.882516833000
67-CASA ROJA,102,18,-73.649459400000,3.883519435000
67-CASA ROJA,102,20,-73.649486400000,3.883885462000
67-CASA ROJA,102,8,-73.649387400000,3.882662336000
67-CASA ROJA,102,9,-73.649398700000,3.882744183000
67-CASA ROJA,102,2,-73.649319800000,3.882198533000
67-CASA ROJA,102,28,-73.649549400000,3.884658441000
67-CASA ROJA,102,25,-73.649515700000,3.884267403000
67-CASA ROJA,102,24,-73.649508900000,3.884203745000
67-CASA ROJA,102,11,-73.649400900000,3.882910141000
67-CASA ROJA,102,21,-73.649490900000,3.883951392000
67-CASA ROJA,102,14,-73.649434700000,3.883194330000
67-CASA ROJA,102,17,-73.649450400000,3.883430768000
67-CASA ROJA,102,15,-73.649436900000,3.883269352000
67-CASA ROJA,102,5,-73.649369400000,3.882450903000
67-CASA ROJA,102,13,-73.649416600000,3.883107932000
62-LA CEIBA,102,5,-73.659889000000,3.885275600000
62-LA CEIBA,102,8,-73.659844700000,3.885026200000
62-LA CEIBA,102,11,-73.659810800000,3.884766700000
62-LA CEIBA,102,3,-73.659944100000,3.885649600000
62-LA CEIBA,102,13,-73.659779600000,3.884511600000
62-LA CEIBA,102,7,-73.659866200000,3.885117800000
62-LA CEIBA,102,9,-73.659829700000,3.884931600000
62-LA CEIBA,102,6,-73.659878000000,3.885201300000
62-LA CEIBA,102,12,-73.659797700000,3.884667400000
62-LA CEIBA,102,1,-73.659964300000,3.885830400000
62-LA CEIBA,102,10,-73.659821800000,3.884841000000
62-LA CEIBA,102,4,-73.659904200000,3.885372400000
62-LA CEIBA,102,2,-73.659956600000,3.885742100000
67-CASA ROJA,103,20,-73.649563300000,3.883942335000
67-CASA ROJA,103,21,-73.649570100000,3.884062827000
67-CASA ROJA,103,22,-73.649581400000,3.884146948000
67-CASA ROJA,103,18,-73.649543100000,3.883689980000
67-CASA ROJA,103,24,-73.649592600000,3.884299270000
67-CASA ROJA,103,26,-73.649606100000,3.884537981000
67-CASA ROJA,103,7,-73.649462100000,3.882773769000
67-CASA ROJA,103,19,-73.649545300000,3.883844571000
67-CASA ROJA,103,23,-73.649581300000,3.884224242000
67-CASA ROJA,103,25,-73.649594800000,3.884374292000
67-CASA ROJA,103,1,-73.649376400000,3.882159915000
67-CASA ROJA,103,17,-73.649522800000,3.883467179000
67-CASA ROJA,103,26,-73.649606100000,3.884453866000
67-CASA ROJA,103,13,-73.649504900000,3.883230739000
67-CASA ROJA,103,10,-73.649480100000,3.882939735000
67-CASA ROJA,103,5,-73.649446300000,3.882689646000
67-CASA ROJA,103,4,-73.649432800000,3.882466849000
67-CASA ROJA,103,2,-73.649423800000,3.882396370000
67-CASA ROJA,103,11,-73.649482300000,3.883078412000
67-CASA ROJA,103,5,-73.649446300000,3.882619172000
67-CASA ROJA,103,14,-73.649504800000,3.883312581000
67-CASA ROJA,103,29,-73.649638700000,3.884768345000
67-CASA ROJA,103,10,-73.649480100000,3.883001116000
67-CASA ROJA,103,15,-73.649518400000,3.883383062000
67-CASA ROJA,103,12,-73.649495800000,3.883160260000
67-CASA ROJA,103,17,-73.649522800000,3.883553567000
67-CASA ROJA,103,4,-73.649432800000,3.882541870000
67-CASA ROJA,103,8,-73.649464300000,3.882848792000
67-CASA ROJA,103,28,-73.649630900000,3.884692583000
62-LA CEIBA,103,1,-73.659872900000,3.885719700000
62-LA CEIBA,103,3,-73.659838900000,3.885510500000
62-LA CEIBA,103,13,-73.659705500000,3.884547700000
62-LA CEIBA,103,9,-73.659759100000,3.884903600000
62-LA CEIBA,103,12,-73.659712000000,3.884622400000
62-LA CEIBA,103,8,-73.659768800000,3.884989400000
62-LA CEIBA,103,11,-73.659737700000,3.884709200000
62-LA CEIBA,103,7,-73.659783900000,3.885058900000
62-LA CEIBA,103,4,-73.659822800000,3.885324700000
62-LA CEIBA,103,5,-73.659806700000,3.885244000000
62-LA CEIBA,103,14,-73.659696700000,3.884445800000
62-LA CEIBA,103,6,-73.659796400000,3.885151300000
62-LA CEIBA,103,10,-73.659749800000,3.884822200000
62-LA CEIBA,103,2,-73.659858100000,3.885627400000
67-CASA ROJA,104,21,-73.649644700000,3.884101512000
67-CASA ROJA,104,12,-73.649552500000,3.883105728000
67-CASA ROJA,104,22,-73.649651500000,3.884258379000
67-CASA ROJA,104,11,-73.649541200000,3.882960226000
67-CASA ROJA,104,27,-73.649671700000,3.884494820000
67-CASA ROJA,104,27,-73.649671700000,3.884560748000
67-CASA ROJA,104,13,-73.649568300000,3.883183031000
67-CASA ROJA,104,14,-73.649568200000,3.883262599000
67-CASA ROJA,104,19,-73.649635800000,3.883962832000
67-CASA ROJA,104,3,-73.649487200000,3.882403222000
67-CASA ROJA,104,28,-73.649685200000,3.884710797000
67-CASA ROJA,104,7,-73.649521000000,3.882723785000
67-CASA ROJA,104,2,-73.649469100000,3.882344105000
67-CASA ROJA,104,4,-73.649493900000,3.882494160000
67-CASA ROJA,104,22,-73.649651500000,3.884178811000
67-CASA ROJA,104,25,-73.649660400000,3.884406153000
67-CASA ROJA,104,20,-73.649631200000,3.884026484000
67-CASA ROJA,104,1,-73.649466900000,3.882205428000
67-CASA ROJA,104,18,-73.649592900000,3.883589977000
67-CASA ROJA,104,16,-73.649572700000,3.883351262000
67-CASA ROJA,104,11,-73.649541200000,3.883048888000
67-CASA ROJA,104,6,-73.649514200000,3.882639667000
67-CASA ROJA,104,24,-73.649651400000,3.884333400000
67-CASA ROJA,104,8,-73.649536800000,3.882817001000
67-CASA ROJA,104,16,-73.649572700000,3.883433104000
67-CASA ROJA,104,9,-73.649536700000,3.882878382000
67-CASA ROJA,104,5,-73.649500700000,3.882571459000
67-CASA ROJA,104,17,-73.649583900000,3.883496764000
62-LA CEIBA,104,5,-73.659690800000,3.884955200000
62-LA CEIBA,104,10,-73.659621500000,3.884495700000
62-LA CEIBA,104,7,-73.659658600000,3.884766300000
62-LA CEIBA,104,6,-73.659667200000,3.884866000000
62-LA CEIBA,104,9,-73.659636300000,3.884588000000
62-LA CEIBA,104,1,-73.659786300000,3.885585800000
62-LA CEIBA,104,4,-73.659698900000,3.885048000000
62-LA CEIBA,104,3,-73.659723600000,3.885176000000
62-LA CEIBA,104,2,-73.659764100000,3.885459900000
62-LA CEIBA,104,11,-73.659605200000,3.884412700000
62-LA CEIBA,104,8,-73.659647300000,3.884662300000
67-CASA ROJA,105,11,-73.649613600000,3.882973903000
67-CASA ROJA,105,2,-73.649550600000,3.882291859000
67-CASA ROJA,105,19,-73.649669900000,3.883674131000
67-CASA ROJA,105,18,-73.649667600000,3.883594562000
67-CASA ROJA,105,10,-73.649604600000,3.882912517000
67-CASA ROJA,105,12,-73.649631700000,3.883071667000
67-CASA ROJA,105,22,-73.649710400000,3.884128826000
67-CASA ROJA,105,6,-73.649579900000,3.882530578000
67-CASA ROJA,105,16,-73.649683600000,3.883389966000
67-CASA ROJA,105,20,-73.649699100000,3.883976505000
67-CASA ROJA,105,8,-73.649595600000,3.882746557000
67-CASA ROJA,105,14,-73.649642900000,3.883239903000
67-CASA ROJA,105,9,-73.649604700000,3.882821583000
